id,release_id,information_system,information_institution,information_storage_vendor,information_filesystem_type,information_client_nodes,information_client_total_procs,io500_score,io500_bw,io500_md,io500_tot_iops,information_data,information_10_node_challenge,information_list_name,information_identifier,information_submitter,information_submission_date,information_embargo_end_date,information_storage_install_date,information_storage_refresh_date,information_filesystem_name,information_filesystem_version,information_client_procs_per_node,information_client_operating_system,information_client_operating_system_version,information_client_kernel_version,information_md_nodes,information_md_storage_devices,information_md_storage_type,information_md_volatile_memory_capacity,information_md_storage_interface,information_md_network,information_md_software_version,information_md_operating_system_version,information_ds_nodes,information_ds_storage_devices,information_ds_storage_type,information_ds_volatile_memory_capacity,information_ds_storage_interface,information_ds_network,information_ds_software_version,information_ds_operating_system_version,information_note,information_best,ior_easy_write,ior_easy_read,ior_hard_write,ior_hard_read,mdtest_easy_write,mdtest_easy_stat,mdtest_easy_delete,mdtest_hard_write,mdtest_hard_read,mdtest_hard_stat,mdtest_hard_delete,find_easy,find_hard,marker_score,marker_md,storage_data,status,include_in_io500,valid_from,valid_to
264,ISC19,Vast,"HHMI Janelia Research Campus","Vast Data","Scale-out NAS",96,3072,17.180000,8.150000,36.220000,37.100000,zip,,-,2019-06-29,"Scientific Computing Systems",6/5/19,,1/2019,,,1.2.3,32,"Scientific Linux",7.6,3.10.0-957.10.1.el7.x86_64,16,,,,NVMeoF,"Ethernet 50Gbps",,,4,1120,"3DXP,NVMe,SSD",,NVMeoF,"Ethernet 100Gbps",,,,,14.02000,26.79,2.57,4.56,56.36,472.19,68.51,1.31,71.33,81.86,3.74,57,,-,-,-,VALID,1,6/5/19,10/31/19
380,ISC19,Seislab,Fraunhofer,ThinkparQ,BeeGFS,24,24,16.960000,5.130000,56.140000,42.580000,,,-,2018_14,,1/1/19,,,,,,1,,,,,,,,,,,,,,,,,,,,,true,18.79000,22.34,0.89,1.86,103.15,433.14,172.95,5.38,13.87,57.40,13.87,,,-,-,-,VALID,1,1/1/19,10/31/19
443,ISC19,Seislab,Fraunhofer,ThinkparQ,BeeGFS,24,24,16.960000,5.130000,56.140000,42.580000,,,-,2018_14,,1/1/19,,,,,,1,,,,,,,,,,,,,,,,,,,,,true,18.79000,22.34,0.89,1.86,103.15,433.14,172.95,5.38,13.87,57.40,13.87,,,-,-,-,VALID,1,1/1/19,10/31/19
339,ISC19,ofsdev,"Clemson University",Dell,BeeGFS,16,16,16.220000,7.330000,35.880000,35.600000,zip,,-,2018-11-20,"Clemson ACI",1/1/19,,04/2012,08/2018,ofsdev,7,1,"Oracle Linux",7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.5,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.0,7.5,,,15.23000,12.03,3.85,4.09,37.13,129.05,63.88,6.58,11.36,73.13,7.70,,,-,-,-,VALID,1,1/1/19,10/31/19
402,ISC19,ofsdev,"Clemson University",Dell,BeeGFS,16,16,16.220000,7.330000,35.880000,35.600000,zip,,-,2018-11-20,"Clemson ACI",1/1/19,,04/2012,08/2018,ofsdev,7,1,"Oracle Linux",7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.5,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.0,7.5,,,15.23000,12.03,3.85,4.09,37.13,129.05,63.88,6.58,11.36,73.13,7.70,,,-,-,-,VALID,1,1/1/19,10/31/19
268,ISC19,TStor3000,Inspur,Inspur,BeeGFS,10,400,14.670000,4.480000,48.060000,36.700000,zip,,-,2019-06-20,PuQin,6/4/19,,04/2019,04/2019,BeeGFS/E8,7.1.2,40,CentOS,7.5,3.10.0-862.el7.x86_64,2,8,NVMe,384GB,NVMe,"InfiniBand EDR",7.1.2,7.5,2,15,NVMe,384GB,NVMe,"InfiniBand EDR",7.1.2,7.5,,,12.00000,9.63,0.99,3.50,46.00,158.47,41.33,11.84,17.32,77.25,13.82,432,,-,-,-,VALID,1,6/4/19,10/31/19
342,ISC19,ofsdev,"Clemson University",Dell,BeeGFS,16,32,13.120000,3.170000,54.210000,35.460000,zip,,-,2018-11-23,"Clemson ACI",1/1/19,,04/2012,08/2018,ofsdev,7,2,"Oracle Linux",7.5,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.5,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.0,7.5,,,13.85000,11.33,0.13,4.90,83.03,307.62,163.40,6.48,16.61,72.89,6.55,,,-,-,-,VALID,1,1/1/19,10/31/19
405,ISC19,ofsdev,"Clemson University",Dell,BeeGFS,16,32,13.120000,3.170000,54.210000,35.460000,zip,,-,2018-11-23,"Clemson ACI",1/1/19,,04/2012,08/2018,ofsdev,7,2,"Oracle Linux",7.5,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.5,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.0,7.5,,,13.85000,11.33,0.13,4.90,83.03,307.62,163.40,6.48,16.61,72.89,6.55,,,-,-,-,VALID,1,1/1/19,10/31/19
272,ISC19,BEAR-AI,"University of Birmingham",DDN,"Spectrum Scale",10,20,12.540000,2.970000,52.850000,34.110000,zip,,-,2019-06-28,"Simon Thompson",5/23/19,,04/19,04/19,/ai,5.0.2.3,2,RHEL,7.5,4.14.0-49.13.1.el7a.ppc64le,,,,,,,,,4,,SSD,14GB,NVMe,"InfiniBand EDR",5.0.2.3,"Grid Scalar",,,12.20000,12.78,0.67,0.75,82.17,55.14,36.00,15.95,51.36,56.62,20.67,389,,-,-,-,VALID,1,5/23/19,10/31/19
327,ISC19,ofsdev,"Clemson University",Dell,BeeGFS,16,64,12.510000,2.100000,74.720000,38.240000,zip,,-,2018-11-8,"Clemson ACI",1/1/19,,04/2012,08/2018,ofsdev,7,4,"Oracle Linux",7.5,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.5,16,12,HDD,128GB,SAS,"FDR InfiniBand",7.0,7.5,,,12.31000,10.32,0.06,2.57,181.41,693.87,262.28,6.24,18.81,73.77,6.18,,,-,-,-,VALID,1,1/1/19,10/31/19
